Ref,Val,Package,PosX,PosY,Rot,Side
"J8","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",233.362500,-94.456250,0.000000,bottom
"J9","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",164.306250,-113.506250,0.000000,bottom
"J10","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",164.306250,-81.756250,180.000000,bottom
"Q1","AO3401A","SOT-23",8.731250,-82.550000,270.000000,bottom
"Q2","AO3401A","SOT-23",243.681250,-82.550000,270.000000,bottom
"R1","5.1k","R_0805_2012Metric",9.525000,-27.781250,180.000000,bottom
"R2","10k","R_0805_2012Metric",9.525000,-69.056250,0.000000,bottom
"R3","10k","R_0805_2012Metric",1.587500,-82.550000,90.000000,bottom
"R4","1M","R_0805_2012Metric",255.587500,-19.050000,270.000000,bottom
"R5","5.1k","R_0805_2012Metric",9.525000,-23.018750,180.000000,bottom
"R6","1M","R_0805_2012Metric",14.287500,-27.781250,0.000000,bottom
"R7","806k","R_0805_2012Metric",25.400000,-82.550000,270.000000,bottom
"R8","2M","R_0805_2012Metric",23.018750,-82.550000,90.000000,bottom
"R9","1k","R_0805_2012Metric",117.475000,-103.187500,180.000000,bottom
"R10","5.1k","R_0805_2012Metric",242.887500,-23.018750,0.000000,bottom
"R11","5.1k","R_0805_2012Metric",242.887500,-27.781250,0.000000,bottom
"R12","10k","R_0805_2012Metric",250.825000,-82.550000,90.000000,bottom
"R13","806k","R_0805_2012Metric",227.012500,-82.550000,270.000000,bottom
"R14","1k","R_0805_2012Metric",134.937500,-103.187500,0.000000,bottom
"R15","2M","R_0805_2012Metric",229.393750,-82.550000,90.000000,bottom
"R16","10k","R_0805_2012Metric",242.887500,-69.056250,0.000000,bottom
"SW1","SW_SPST","SW_SPST_TL3342",76.200000,-92.868750,180.000000,bottom
"SW38","SW_SPDT","SW_SPDT_PCM12",-4.762500,-83.343750,180.000000,bottom
"SW47","SW_SPDT","SW_SPDT_PCM12",257.175000,-83.343750,180.000000,bottom
"SW66","SW_SPST","SW_SPST_TL3342",176.212500,-92.868750,180.000000,bottom
"U1","nRF52840_holyiot_18010","nRF52840_holyiot_18010_HS_simple",214.312500,-92.868750,0.000000,bottom
"U2","XC6206","SOT-23",17.462500,-82.550000,270.000000,bottom
"U3","TP4054","SOT-23-5",4.762500,-82.550000,180.000000,bottom
"U4","nRF52840_holyiot_18010","nRF52840_holyiot_18010_HS_simple",42.862500,-92.868750,0.000000,bottom
"U5","TP4054","SOT-23-5",247.650000,-82.550000,0.000000,bottom
"U6","XC6206","SOT-23",234.950000,-82.550000,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",-11.112500,-25.400000,90.000000,bottom
"USB2","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",263.525000,-25.400000,270.000000,bottom
